text,polarity,sentiment
folks said daikon paste could treat cytokine storm pfizerbiontech,0,Neutral
world wrong side history year hopefully biggest vaccination effort weve ev,-0.5,Negative
coronavirus sputnikv astrazeneca pfizerbiontech moderna covid_19 russian vaccine created last 24 years,0,Neutral
facts immutable senator even youre ethically sturdy enough acknowledge 1 born,0.1,Positive
explain need vaccine borisjohnson matthancock whereareallthesickpeople pfizerbiontech,0,Neutral
anyone useful adviceguidance whether covid vaccine safe whilst breastfeeding,0.4,Positive
bit sad claim fame success vaccination patriotic competition usa canada uk,-0.1,Negative
many bright days 2020 best 1 bidenharris winning election2020,0.675,Positive
covid vaccine getting covidvaccine covid19 pfizerbiontech moderna,0,Neutral
covidvaccine states start getting covid19vaccine monday us says pakustv nyc healthcare globalgoals,0,Neutral
deaths closing 300000 mark millions people wait pfizerbiontech vaccine first u,0.25,Positive
cnnbrk covid19 covidvaccine vaccine corona pfizerbiontech bbcnews nytimes bbcnews best wishes us,1,Positive
agency also released new information health care providers patients us shipped millions,0.1363636364,Positive
women healthcare providers asking safety pfizerbiontech,0,Neutral
expect 145 sites across states receive vaccine monday another 425 sites tuesday said offic,0,Neutral
trump announces vaccine rollout less 24 hours first americans vaccinated,0.04166666667,Positive
updated yellowfever amp covid19 immunitypassports part two sarscov2 pfizerbiontech britain december,0,Neutral
coronavirus iran reports 8201 new cases 221 deaths last 24 hours iran coronavirus pfizerbiontech,0.06818181818,Positive
pfizer rake billions expensive covidvaccine albertbourla refuses cut price lowe,-0.5,Negative
trump administration failed deliver vaccine promises shocker covidiots coronavirus covidvaccine,-0.5,Negative
much fda get paid approve sudden money makes world go around vaccine,0.1,Positive
anyone wondering day pfizerbiontech approval uk people getting vaccinated tol,0,Neutral
us food drug administration fda granted emergency use authorization pfizerbiontechs mrna,0,Neutral
presenting top medical newsadvancement past week dont want miss docnosofficial covid19,0.08333333333,Positive
no1 2 done thankyounhs nhsuk mhragovuk pfizerbiontech pfizer making covidvaccine dream poss,0,Neutral
wear mask wash hands remain socially distant possible stayhome stayathome stayathomesavelives,-0.05,Negative
avgerinosmoscow pfizerbiontech fda approval apprentice style realdonaldtrump approve vaccine,0,Neutral
interesting detailed article showing well tested supplychain sharedvisibility help,0.45,Positive
vaccine trumpvaccine astrazeneca pfizerbiontech pfizervaccine pfizercovidvaccine pfizers covid19 belong,0,Neutral
zubymusic 6 deaths far death nothing worry covidvaccines pfizervaccine,0.1,Positive
sbnumb3 nytimes please dont spread fake news evidence cases linked,-0.5,Negative
icymi fda authorized pfizerbiontech covid19 vaccine united states last night,0,Neutral
respect due process give approval instead 29th december surely multiple cou,-0.0625,Negative
vaccine anyone covid pfizervaccine pfizerbiontech,0,Neutral
immigrant muslim couple find covid19 vaccine covidvaccine pfizerbiontech pfizervaccine pfizerproud,0,Neutral
